# ps
PID   USER     TIME  COMMAND
    1 root      0:04 {systemd} /sbin/init
  152 root      0:00 [irq/61-dm_hs_ph]
  153 root      0:00 [irq/62-ss_phy_i]
  154 root      0:00 [irq/44-arm-smmu]
  155 root      0:00 [kworker/u2:8]
  156 root      0:00 [k_ipa_usb]
  157 root      0:00 [kworker/u2:9]
  158 root      0:00 [usb_bam_wq]
  159 root      0:00 [ipv6_addrconf]
  160 root      0:00 [irq/121-qcom,te]
  161 root      0:00 [etr_pcie]
  162 root      0:00 [ubi_bgt0d]
  176 root      0:00 [ubifs_bgt0_3]
  180 root      0:00 [kworker/0:3]
  193 root      0:00 [ubi_bgt2d]
  196 root      0:00 [ubifs_bgt2_0]
  197 root      0:00 [ubi_bgt1d]
  203 root      0:00 [kworker/u2:10]
  213 radio     0:00 /usr/bin/netmgrd
  224 root      0:00 [kworker/u2:11]
  225 qrtr      0:00 /usr/bin/qrtr-ns
  236 root      0:00 [irq/48-arm-smmu]
  237 root      0:00 [irq/49-arm-smmu]
  238 root      0:00 [irq/50-arm-smmu]
  240 root      0:00 [ipa_interrupt_w]
  241 root      0:00 [ipawq36]
  242 root      0:00 [iparepwq36]
  243 root      0:00 [ipawq33]
  244 root      0:00 [iparepwq33]
  245 root      0:00 [ipawq32]
  246 root      0:00 [iparepwq32]
  247 root      0:00 [ipa_ut_dbgfs]
  248 root      0:00 [clnt_req]
  249 root      0:01 /lib/systemd/systemd-udevd
  253 root      0:00 [ubifs_bgt0_1]
  254 root      0:00 [ubifs_bgt0_4]
  266 system    0:00 /usr/bin/time_daemon
  268 system    0:00 /sbin/tftp_server
  310 messageb  0:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --system
  314 logd      0:00 /sbin/logd
  321 radio     0:00 /usr/bin/ipacm
  357 radio     0:00 /usr/bin/QCMAP_Bootup
  359 system    0:00 /usr/bin/ssreq_server
  378 nobody    0:00 dnsmasq --conf-file=/systemrw/data/dnsmasq.conf --dhcp-leasefile=/var/run/data
  379 root      0:00 dnsmasq --conf-file=/systemrw/data/dnsmasq.conf --dhcp-leasefile=/var/run/data
  430 root      0:00 [at_usb0]
  432 root      0:00 [at_usb1]
  440 root      0:00 [rmnet_ctrl]
  446 root      0:00 [android_mbim]
  450 root      0:00 [dpl_ctrl]
  454 root      0:00 [gps]
  462 root      0:00 [qdss]
  464 root      0:00 [qdss_mdm]
  523 root      0:00 /sbin/adbd
  560 radio     0:00 /usr/bin/QCMAP_ConnectionManager /etc/data/mobileap_cfg.xml d
  768 system    0:00 /sbin/init_mss
  771 root      0:00 [kworker/u3:2]
  774 root      0:04 [kworker/u3:4]
  792 root      0:00 [glink_modem]
  793 root      0:00 [qrtr_rx]
  804 root      0:00 [kworker/0:1H]
  808 root      0:00 [kworker/0:2H]
  810 root      0:00 [kworker/u2:12]
  965 root      0:00 [ipawq34]
  966 root      0:00 [iparepwq34]
  968 root      0:00 [ipawq35]
  970 root      0:00 [iparepwq35]
 1345 radio     0:00 /usr/bin/atfwd_daemon
 1348 root      0:00 /lib/systemd/systemd-logind
 1356 root      0:00 [ubifs_bgt0_2]
 1360 radio     0:00 /usr/bin/mbimd
 1362 radio     0:00 /usr/bin/ipacm_perf
 1364 root      0:00 /sbin/reboot-daemon
 1375 system    0:00 /usr/bin/chg-policy
 1379 root      0:00 /usr/bin/QCMAP_Web_CLIENT
 1383 root      0:00 /usr/bin/crid
 1392 rpc       0:00 /usr/sbin/rpcbind
 1403 root      0:00 /usr/bin/ceiril
 1408 root      0:00 /usr/bin/ceisar
 1410 root      0:00 /usr/bin/qmi_ip_multiclient /etc/data/qmi_ip_cfg.xml
 1425 root      0:00 /usr/bin/ceioptimize
 1431 radio     0:00 /usr/bin/qmuxbridge
 1434 root      0:00 /usr/bin/ceiled
 1446 root      0:00 /sbin/fs-scrub-daemon
 1467 root      0:00 {syslogd} /bin/busybox.nosuid /sbin/syslogd
 1476 radio     0:00 /usr/bin/port_bridge at_mdm0 at_usb0
 1491 root      0:00 /sbin/reboot-daemon
 1499 leprop    0:00 /sbin/leprop-service
 1508 radio     0:00 /usr/bin/adpl
 1510 system    0:00 /usr/bin/qseecomd
 1534 system    0:00 /usr/bin/qseecomd
 1540 radio     0:00 /usr/bin/qti
 1543 wifi      0:00 wlan_services
 1547 root      0:01 {exe} ash /oem/script/led_start.sh 15 0.500000 0.500000
 1566 root      0:00 [qcrypto_seq_res]
 1675 system    0:00 /usr/bin/qmi_shutdown_modem
 1677 root      0:00 /sbin/agetty -8 -L ttyMSM0 115200 xterm
 1683 gps       0:00 /usr/bin/location_hal_daemon
 1684 gps       0:00 /usr/bin/loc_launcher
 1727 audio     0:00 /usr/bin/csd_server
 1728 root      0:02 [kworker/0:4]
 1753 system    0:00 /usr/bin/thermal-engine
 1837 root      0:00 [apr_driver]
 1842 gps       0:00 lowi-server  
 1844 gps       0:00 xtra-daemon  
 1953 www-data  0:00 /usr/sbin/lighttpd -f /etc/lighttpd.conf
 1984 diag      0:00 /usr/bin/diagrebootapp
 1985 radio     0:00 /usr/bin/ipacmdiag
 2535 root      0:00 sshd: root@pts/0
 2652 root      0:00 {sh} /bin/busybox.nosuid /bin/sh
 2833 root      0:00 {ps} /bin/busybox.nosuid /bin/ps


